title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Accessibility analysis and spatial competition effects in the context of GIS-supported service location planning,"JRR Van Eck, T de Jong",1999,173,"… future flow patterns for alternative proposals with new shops … pressure map in the case of two competing chains of stores … count in competition, when we apply it to competing chains, we …",_ExN8UNKXrgJ,"JRR Van Eck, T de Jong - Computers, environment and urban systems, 1999 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0198971599000162,unknown,unknown
Location models and GIS tools for retail site location,"R Suárez-Vega, DR Santos-Peñate…",2012,124,"… store. ► We represent both market share and cannibalization by mean maps. ► We use the … In a competitive location problem, the objective in the selection of the location and quality of …",IUSFSgyppbcJ,"R Suárez-Vega, DR Santos-Peñate… - Applied …, 2012 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0143622812000355,unknown,unknown
GIS spatial analysis: A new approach to site selection and decision making for small retail facilities,OI Aboulola,2018,16,"… to store openings and used Esri’s mapping software to easily … analyzed demographics, presence of competitors, and traffic … , retailers often use traffic count measures to assess a site’s …",SecQyR_gpOEJ,OI Aboulola - 2018 - search.proquest.com,[],https://search.proquest.com/openview/4335f1762adf3b4517b885ea7ea0c34a/1?pq-origsite=gscholar&cbl=18750,unknown,unknown
A data-driven framework for optimal retail store location,MH TAN,2025,0,"… census data and manual site selection, this research offers a … for collecting and analyzing foot traffic makes it challenging to … of a store catchment area once we map the store visitors to …",Vz0tDTOTYpAJ,MH TAN - 2025 - ink.library.smu.edu.sg,[],https://ink.library.smu.edu.sg/etd_coll/705/,unknown,unknown
The retail site location decision process using GIS and the analytical hierarchy process,"N Roig-Tierno, A Baviera-Puig, J Buitrago-Vera…",2013,295,"… success factors for a supermarket are related to its location and competition. The proposed … In the site selection process described in this paper, for every pixel on the map, a circular …",p056yGh4ay8J,"N Roig-Tierno, A Baviera-Puig, J Buitrago-Vera… - Applied geography, 2013 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0143622813000714,unknown,unknown
Enhancing Retail Location Decisions in City of Brno: An Application of Geospatial Analysis,"O Turytsia, K Zaklová, J Hynek…",2025,0,"… , and browsing maps or websites to analyze competitors is … information systems features for site selection and input their … The main criteria (eg distance, traffic congestion, market …",Pd2hwa7P6-4J,"O Turytsia, K Zaklová, J Hynek… - The Challenges of Era 5.0 …, 2025 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=5oM7EQAAQBAJ&oi=fnd&pg=PA469&dq=retail+site+selection+traffic+analysis+competition+mapping&ots=67aPlhHtwb&sig=_8tl7ZVYxcn5mJxJ8wqYdsr3c08,unknown,unknown
GIS-based method of delimitating trade area for retail chains,"C Cui, J Wang, Y Pu, J Ma, G Chen",2012,34,"… environment, market analysis, and economic flow simulation, … It is also known as the similar store or mapping approach. The … , the competing influence of neighboring chain store or other …",V4HsDNC3kx8J,"C Cui, J Wang, Y Pu, J Ma, G Chen - International Journal of …, 2012 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/13658816.2012.661058,unknown,unknown
Competitive location selection of a commercial center based on the vitality of commercial districts and residential emotion,"TK Wang, X Gu, K Li, JH Chen",2021,10,"… Tammy Drezner thinks that competitive retail facility models … obtained the road network map of Beijing from OpenStreetMap. … of competitive site selection, XD, WFJ, and CW are selected …",p8AdpL9oc8oJ,"TK Wang, X Gu, K Li, JH Chen - Journal of Urban Planning and …, 2021 - ascelibrary.org",[],https://ascelibrary.org/doi/full/10.1061/(ASCE)UP.1943-5444.0000660,unknown,unknown
Site selection improvement of retailers based on spatial competition strategy and a double-channel convolutional neural network,"J Ouyang, H Fan, L Wang, M Yang, Y Ma",2020,23,"… Baidu map is one of the most widely used high-precision … study, the POI data were obtained by calling the Baidu map … flow to cover the samples affecting the retail site selection …",Au3V_pJENQUJ,"J Ouyang, H Fan, L Wang, M Yang, Y Ma - ISPRS International Journal of …, 2020 - mdpi.com",[],https://www.mdpi.com/2220-9964/9/6/357,unknown,unknown
"Geospatial customer, competitor and supplier analysis for site selection of supermarkets","S Baumbach, C Rubel, S Ahmed…",2019,5,"… to deal with the changes in the retail sector. Cairns [15] and … can lead to a big reduction in traffic volume, as a lot of personal car … By analyzing the spatial organization of retail commercial …",Sql6jsaXdd0J,"S Baumbach, C Rubel, S Ahmed… - … and Data Analysis, 2019 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3318236.3318264,unknown,unknown
