title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Online restaurant entrepreneurship: the story of Holachef in an increasingly digitalized India,"S Jha, S Sekhar Bhattacharyya",2018,6,"… ’s 5Ps of strategy, performing a PESTLE analysis of HolaChef, … of smartphones, internet and technologies associated with it, … Holachef uses chillers to store dishes through a process …",WRkZERZkODEJ,"S Jha, S Sekhar Bhattacharyya - Emerald Emerging Markets Case …, 2018 - emerald.com",[],https://www.emerald.com/eemcs/article/doi/10.1108/EEMCS-03-2017-0040/445860,unknown,unknown
A descriptive analysis on sustainable business strategy of online food service industry,"DP Frederick, SK Parappagoudar",2021,21,"… Porter’s Five Force industry analysis model and PESTLE … in information technology, tourism, finance sector, and hospitality … shopping. Journal of Electronic commerce research, 8(1), 41. …",LJYE76ACIjAJ,"DP Frederick, SK Parappagoudar - … in Engineering Technology …, 2021 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3805570,unknown,unknown
Exploring the Business Landscape and Challenges in Establishing a Restaurant in Finland,MTI Biswash,2024,1,"… Using the PESTEL and Porter's Five Forces frameworks, this … self-directed shops to more extensive chain restaurants. Nevertheless, … , economic trends, or technological changes, are not …",4AXW50HMLzYJ,MTI Biswash - 2024 - theseus.fi,[],https://www.theseus.fi/handle/10024/863890,unknown,unknown
STRATEGIC MANAGEMENT PLANNING FOR LONG-TERM SUSTAINABILITY OF FAST-FOOD RESTAURANT: EVIDENCE IN XYZ RESTAURANT,R Santoso,2025,0,"… 0,074 Technology limitations in data management and operational processes … 0,066 Internal competition/cannibalism: the distance between stores too closed in one city …",cPFI3MHHYTwJ,R Santoso - 2025 - repository.ipmi.ac.id,[],https://repository.ipmi.ac.id/id/eprint/2885,unknown,unknown
Comparing the Growth Strategies of Small vs. Large Companies in the Fast Food Restaurant Industry,IM Azevedo,2024,0,"… By continuing to invest in these technological solutions, large and small restaurants can … Large restaurants have the best opportunity in the social factor of PESTEL to capture consumers …",XVc96Bjg_bAJ,IM Azevedo - 2024 - scholarworks.umt.edu,[],https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=1556&context=utpp,unknown,unknown
Identifying strategies for strengthening market position,"A Singh, J Maqbool",2018,1,"… restaurant (30 sampling) and another for potential restaurant … effect brand image can have on a store’s economic income, from … This includes SWOT analysis, PESTLE analysis, and an …",YWtxmY8zLS0J,"A Singh, J Maqbool - 2018 - researcharchive.wintec.ac.nz",[],https://researcharchive.wintec.ac.nz/id/eprint/6462/,unknown,unknown
Market research in fast food restaurant sector,K Shamim,2019,0,"… The restaurants located only inside the shopping malls were visited. The main reason for … section, the PESTEL related data for Finnish market will be analyzed from fast food restaurant …",JlPGEhS16HkJ,K Shamim - 2019 - theseus.fi,[],https://www.theseus.fi/handle/10024/265897,unknown,unknown
The tourism and hospitality marketing environment,R George,2021,2,"… onto the retail sector by selling directly to end-consumers. … , technological, legal, and ecological factors that influence an organisation (Aguilar, 1967). Although we use the PESTLE …",9BeiT5WcCoUJ,"R George - Marketing Tourism and Hospitality: Concepts and …, 2021 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-030-64111-5_6,unknown,unknown
The external business environment faced by the restaurant industry: Discourse analysis of trade journal editorials in Finland in 1979-2023,"S Kauhanen, J Koponen, R Komppula",2024,5,"… (PESTEL factors) and how they are perceived by the Finnish … As in the restaurant industry, technology factors include … by charging restaurants a lower tax than that of retail stores. This …",Vyy_nUDBO3gJ,"S Kauhanen, J Koponen, R Komppula - European Journal of Tourism …, 2024 - ejtr.vumk.eu",[],https://www.ejtr.vumk.eu/index.php/about/article/view/3408,unknown,unknown
Market Analysis to Discover New Restaurant Business Opportunities in Imatra Region,SF Hasan,2015,0,"… on market analysis which includes PESTEL analysis, Porter's … restaurant business in Imatra region. In addition, requirements, needs and expectations of Imatra’s prospective restaurant …",F6PG5fN04J0J,SF Hasan - 2015 - theseus.fi,[],https://www.theseus.fi/handle/10024/95430,unknown,unknown
